ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_instrument,buy_action,sell_instrument,sell_action,buy_notional,match_status
AAPL,50414ba377e4,7443a3a81e83,2023-03-17,2025-12-24,1013.0,stock,purchase,stock,sale,500001.0,matched
AAPL,708e9596c520,4cdc86b134e6,2023-06-15,2025-12-30,929.0,stock,purchase,stock,sale,250001.0,matched
MSFT,044cb483f870,,2023-06-15,,,stock,purchase,,,500001.0,open
NVDA,6ac9b2a017dd,ccf6fa87e1ad,2023-11-22,2024-06-24,215.0,stock,purchase,stock,sale,1000001.0,matched
NVDA,d1a3ea6a4a6e,1e1007b3b3a0,2023-11-22,2024-12-31,405.0,option,purchase,stock,sale,243409.7671508789,matched
NVDA,74393c088d91,d038f9ef30da,2023-11-22,2025-12-24,763.0,option,purchase,stock,sale,1000001.0,matched
NVDA,a1a1454920e8,f08179192b4d,2024-06-26,2025-12-30,552.0,stock,purchase,stock,sale,1000001.0,matched
NVDA,c07850e10fa1,,2024-07-26,,,stock,purchase,,,1000001.0,open
NVDA,d7dbca2f0838,,2024-12-20,,,stock,purchase,,,250001.0,open
NVDA,9f69cd269888,,2025-01-14,,,stock,purchase,,,250001.0,open
NVDA,ccb029ea2e15,,2025-01-14,,,option,purchase,,,250001.0,open
PANW,32d207a78905,,2024-02-21,,,stock,purchase,,,100001.0,open
PANW,738fa5f69dee,,2024-02-21,,,option,purchase,,,100001.0,open
AVGO,,e8e82b7e6641,,2025-06-20,,,,stock,sale,,prior_position
V,,e949e584295d,,2024-07-01,,,,stock,sale,,prior_position
AMZN,39d2decdea05,84d900dd3d1a,2025-01-14,2025-12-24,344.0,option,purchase,stock,sale,250001.0,matched
AMZN,43ec97260915,,2025-01-14,,,stock,purchase,,,250001.0,open
GOOGL,f4b7b4d69c52,f3c03701a055,2025-12-30,2025-12-30,0.0,stock,purchase,stock,sale,500001.0,matched
GOOGL,22b1a53b67c9,,2026-01-16,,,stock,purchase,,,500001.0,open
TEM,a2f94d843e08,,2025-01-14,,,option,purchase,,,50001.0,open
TEM,ff5a7fbab46e,,2025-01-14,,,stock,purchase,,,50001.0,open
PYPL,,57aa76e965ea,,2025-12-30,,,,stock,sale,,prior_position
DIS,,c69f9ff4cbd2,,2025-12-30,,,,stock,sale,,prior_position
