date,position_cost,position_mtm,n_open_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2023-03-17,500001.0,500001.0,1,1,0.0,0.0,0.0,0.0,0.0
2023-03-20,500001.0,507742.8704820686,1,1,0.0,7741.870482068663,7741.870482068663,7741.870482068663,7741.870482068663
2023-03-21,500001.0,513807.42565897934,1,1,0.0,13806.425658979313,13806.425658979313,6064.5551769106505,13806.425658979313
2023-03-22,500001.0,509130.04557606287,1,1,0.0,9129.04557606288,9129.04557606288,-4677.380082916434,9129.04557606288
2023-03-23,500001.0,512678.3528992571,1,1,0.0,12677.352899257136,12677.352899257136,3548.3073231942562,12677.352899257136
2023-03-24,500001.0,516936.4916227867,1,1,0.0,16935.49162278672,16935.49162278672,4258.138723529586,16935.49162278672
2023-03-27,500001.0,510581.6462914507,1,1,0.0,10580.646291450788,10580.646291450788,-6354.845331335933,10580.646291450788
2023-03-28,500001.0,508549.3153239508,1,1,0.0,8548.315323950823,8548.315323950823,-2032.3309674999655,8548.315323950823
2023-03-29,500001.0,518613.9568712062,1,1,0.0,18612.956871206225,18612.956871206225,10064.641547255402,18612.956871206225
2023-03-30,500001.0,523743.01603909873,1,1,0.0,23742.01603909875,23742.01603909875,5129.059167892527,23742.01603909875
2023-03-31,500001.0,531936.5156250562,1,1,0.0,31935.515625056196,31935.515625056196,8193.499585957445,31935.515625056196
2023-04-03,500001.0,536033.3653802094,1,1,0.0,36032.365380209376,36032.365380209376,4096.84975515318,36032.365380209376
2023-04-04,500001.0,534291.424529309,1,1,0.0,34290.42452930909,34290.42452930909,-1741.9408509002824,34290.42452930909
2023-04-05,500001.0,528259.1071536387,1,1,0.0,28258.107153638775,28258.107153638775,-6032.317375670318,28258.107153638775
2023-04-06,500001.0,531162.4085465888,1,1,0.0,31161.408546588882,31161.408546588882,2903.3013929501067,31161.408546588882
2023-04-10,500001.0,522678.36890077015,1,1,0.0,22677.368900770154,22677.368900770154,-8484.039645818728,22677.368900770154
2023-04-11,500001.0,518710.62029384024,1,1,0.0,18709.620293840253,18709.620293840253,-3967.748606929901,18709.620293840253
2023-04-12,500001.0,516452.6746987446,1,1,0.0,16451.674698744584,16451.674698744584,-2257.945595095669,16451.674698744584
